,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,,250b,
"Amazon Web Services [c5d.24xlarge]",0.099,"252,000,000",0.181,"276,000,000",0.330,"303,000,000",0.854,"292,000,000",1.699,"294,000,000",3.510,"284,000,000",9.233,"270,000,000",20.086,"248,000,000",42.755,"233,000,000",118.837,"210,000,000",,,,,,
"Amazon Web Services [c5d.large]",1.557,"16,000,000",3.482,"14,300,000",7.526,"13,200,000",21.817,"11,400,000",47.031,"10,600,000",565.641,"1,760,000",,,,,,,,,,,,,,
"Amazon Web Services [i3en.24xlarge]",0.101,"247,000,000",0.187,"267,000,000",0.346,"289,000,000",0.884,"282,000,000",1.761,"283,000,000",3.612,"276,000,000",9.476,"263,000,000",20.626,"242,000,000",43.434,"230,000,000",119.935,"208,000,000",262.364,"190,000,000",563.366,"177,000,000",2595.964,"96,300,000"
"Amazon Web Services [i3en.large]",1.363,"18,300,000",3.029,"16,500,000",6.657,"15,000,000",19.433,"12,800,000",41.903,"11,900,000",90.504,"11,000,000",233.192,"10,700,000",1092.308,"4,570,000",2906.440,"3,440,000",10688.911,"2,330,000",,,,,,
"Amazon Web Services [m6a.48xlarge]",0.152,"164,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",1.468,"17,000,000",3.182,"15,700,000",6.983,"14,300,000",19.781,"12,600,000",43.162,"11,500,000",93.872,"10,600,000",,,,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.073,"342,000,000",0.137,"364,000,000",0.265,"377,000,000",0.652,"383,000,000",1.282,"390,000,000",2.596,"385,000,000",6.871,"363,000,000",14.953,"334,000,000",32.213,"310,000,000",87.102,"287,000,000",185.999,"268,000,000",394.979,"253,000,000",,
"Amazon Web Services [m6i.large]",1.263,"19,700,000",2.832,"17,600,000",6.113,"16,300,000",17.093,"14,600,000",36.441,"13,700,000",78.052,"12,800,000",,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.975,"25,600,000",2.117,"23,600,000",4.573,"21,800,000",13.510,"18,500,000",29.064,"17,200,000",63.409,"15,700,000",,,,,,,,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.104,"240,000,000",0.189,"264,000,000",0.344,"290,000,000",0.897,"278,000,000",1.771,"282,000,000",3.659,"273,000,000",9.470,"263,000,000",,,,,,,,,,,,
"Amazon Web Services [t3.small]",1.929,"12,900,000",4.183,"11,900,000",9.106,"10,900,000",26.046,"9,590,000",,,,,,,,,,,,,,,,,,
"Google Cloud Platform [n1-highmem-96]",0.165,"151,000,000",0.320,"156,000,000",0.598,"167,000,000",1.588,"157,000,000",3.265,"153,000,000",6.923,"144,000,000",18.110,"138,000,000",39.091,"127,000,000",83.792,"119,000,000",234.135,"106,000,000",,,,,,
"Google Cloud Platform [n2d-standard-2]",1.966,"12,700,000",4.268,"11,700,000",9.270,"10,700,000",26.527,"9,420,000",57.871,"8,630,000",128.488,"7,780,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.158,"158,000,000",0.290,"172,000,000",0.531,"188,000,000",1.087,"229,000,000",1.719,"290,000,000",2.930,"341,000,000",7.241,"345,000,000",14.828,"337,000,000",29.892,"334,000,000",84.894,"294,000,000",197.146,"253,000,000",471.889,"211,000,000",,
