,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,125b,
"Amazon Web Services [c5d.24xlarge]",1.316,"18,900,000",2.348,"21,200,000",4.446,"22,400,000",10.859,"23,000,000",21.199,"23,500,000",41.852,"23,800,000",112.252,"22,200,000",234.313,"21,300,000",526.434,"18,900,000",,
"Amazon Web Services [c5d.large]",14.332,"1,740,000",32.612,"1,530,000",70.909,"1,410,000",211.588,"1,180,000",460.428,"1,080,000",,,,,,,,,,
"Amazon Web Services [c7i.large]",8.187,"3,050,000",18.488,"2,700,000",41.043,"2,430,000",124.533,"2,000,000",279.516,"1,780,000",,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",2.664,"9,380,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",13.739,"1,810,000",29.219,"1,710,000",62.836,"1,590,000",185.334,"1,340,000",404.582,"1,230,000",876.893,"1,140,000",,,,,,,,
"Amazon Web Services [m6i.32xlarge]",1.177,"21,200,000",1.944,"25,700,000",3.404,"29,300,000",8.208,"30,400,000",15.271,"32,700,000",29.256,"34,100,000",80.842,"30,900,000",172.712,"28,900,000",367.450,"27,200,000",,
"Amazon Web Services [m6i.large]",11.069,"2,250,000",24.057,"2,070,000",51.512,"1,940,000",147.269,"1,690,000",321.537,"1,550,000",710.129,"1,400,000",,,,,,,,
"Amazon Web Services [m7a.large]",5.682,"4,390,000",12.291,"4,060,000",26.783,"3,730,000",81.611,"3,060,000",178.364,"2,800,000",385.204,"2,590,000",,,,,,,,
"Amazon Web Services [m7i.48xlarge]",1.483,"16,800,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",8.046,"3,100,000",17.965,"2,780,000",39.710,"2,510,000",122.444,"2,040,000",274.046,"1,820,000",608.215,"1,640,000",,,,,,,,
"Amazon Web Services [r5d.24xlarge]",1.532,"16,300,000",2.550,"19,600,000",4.431,"22,500,000",11.241,"22,200,000",21.679,"23,000,000",43.125,"23,100,000",114.106,"21,900,000",237.279,"21,000,000",,,9311.077,"13,400,000"
"Amazon Web Services [t3.small]",16.956,"1,470,000",38.364,"1,300,000",83.199,"1,200,000",247.811,"1,000,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",3.162,"7,900,000",4.870,"10,200,000",7.988,"12,500,000",15.325,"16,300,000",23.896,"20,900,000",45.120,"22,100,000",,,,,,,,
