,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Amazon Web Services [c5d.24xlarge]",0.727,"34,300,000",1.549,"32,200,000",3.330,"30,000,000",8.718,"28,600,000",17.971,"27,800,000",37.605,"26,500,000",102.672,"24,300,000",223.636,"22,300,000",488.443,"20,400,000",1395.074,"17,900,000"
"Amazon Web Services [c5d.large]",13.118,"1,900,000",29.695,"1,680,000",67.655,"1,470,000",199.264,"1,250,000",448.365,"1,110,000",,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.124,"22,200,000",2.211,"22,600,000",4.813,"20,700,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",12.605,"1,980,000",28.874,"1,730,000",64.867,"1,540,000",188.232,"1,320,000",422.920,"1,180,000",947.592,"1,050,000",,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.936,"26,700,000",1.505,"33,200,000",2.901,"34,400,000",7.292,"34,200,000",14.457,"34,500,000",29.451,"33,900,000",79.345,"31,500,000",170.729,"29,200,000",370.186,"27,000,000",,
"Amazon Web Services [m6i.large]",10.551,"2,360,000",24.033,"2,080,000",54.225,"1,840,000",158.462,"1,570,000",352.567,"1,410,000",777.155,"1,280,000",,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.505,"49,500,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",8.403,"2,970,000",18.947,"2,630,000",43.156,"2,310,000",124.573,"2,000,000",280.297,"1,780,000",630.398,"1,580,000",,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.760,"32,800,000",1.614,"30,900,000",3.450,"28,900,000",8.960,"27,900,000",18.435,"27,100,000",38.659,"25,800,000",105.143,"23,700,000",,,,,,
"Amazon Web Services [t3.small]",15.796,"1,580,000",35.772,"1,390,000",81.563,"1,220,000",238.859,"1,040,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",16.681,"1,490,000",37.694,"1,320,000",85.326,"1,170,000",249.220,"1,000,000",555.550,"900,000",1243.960,"803,000",,,,,,,,
"Google Cloud Platform [n2d-standard-224]",1.255,"19,900,000",2.419,"20,600,000",5.219,"19,100,000",13.693,"18,200,000",24.500,"20,400,000",41.863,"23,800,000",89.193,"28,000,000",,,,,,
