,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"Amazon Web Services [c5d.24xlarge]",0.371,"67,300,000",0.787,"63,500,000",1.653,"60,400,000",4.268,"58,500,000",8.890,"56,200,000",18.938,"52,800,000",51.889,"48,100,000",112.419,"44,400,000",,,,,,
"Amazon Web Services [c5d.large]",6.588,"3,790,000",15.161,"3,290,000",34.716,"2,880,000",103.569,"2,410,000",234.079,"2,130,000",,,,,,,,,,,,
"Amazon Web Services [c7a.large]",2.588,"9,650,000",5.942,"8,410,000",13.485,"7,410,000",39.540,"6,320,000",89.112,"5,610,000",,,,,,,,,,,,
"Amazon Web Services [c7i.large]",4.077,"6,130,000",9.260,"5,390,000",20.996,"4,760,000",61.886,"4,030,000",139.297,"3,580,000",,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.587,"42,500,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",6.258,"3,990,000",14.127,"3,530,000",32.648,"3,060,000",95.281,"2,620,000",214.303,"2,330,000",485.737,"2,050,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.453,"55,100,000",0.709,"70,500,000",1.402,"71,300,000",3.530,"70,800,000",7.028,"71,100,000",14.553,"68,700,000",39.475,"63,300,000",85.006,"58,800,000",185.866,"53,800,000",528.013,"47,300,000",1152.719,"43,300,000"
"Amazon Web Services [m6i.large]",5.242,"4,760,000",11.985,"4,170,000",26.993,"3,700,000",79.763,"3,130,000",177.567,"2,810,000",400.456,"2,490,000",,,,,,,,,,
"Amazon Web Services [m7a.large]",2.545,"9,820,000",5.872,"8,510,000",13.403,"7,460,000",39.457,"6,330,000",88.728,"5,630,000",197.295,"5,060,000",,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.222,"112,000,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",4.056,"6,160,000",9.113,"5,480,000",20.655,"4,840,000",60.769,"4,110,000",136.752,"3,650,000",307.070,"3,250,000",,,,,,,,,,
"Amazon Web Services [r7a.large]",2.626,"9,520,000",5.971,"8,370,000",13.563,"7,370,000",39.724,"6,290,000",89.698,"5,570,000",200.404,"4,980,000",563.353,"4,430,000",,,,,,,,
"Amazon Web Services [r7i.large]",4.062,"6,150,000",9.172,"5,450,000",20.681,"4,830,000",60.670,"4,120,000",136.421,"3,660,000",306.167,"3,260,000",881.591,"2,830,000",,,,,,,,
"Amazon Web Services [t3.small]",7.890,"3,160,000",17.834,"2,800,000",41.027,"2,430,000",121.629,"2,050,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",8.258,"3,020,000",18.592,"2,680,000",42.180,"2,370,000",124.175,"2,010,000",278.089,"1,790,000",630.023,"1,580,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.547,"45,700,000",1.188,"42,000,000",2.599,"38,400,000",6.630,"37,700,000",11.969,"41,700,000",20.348,"49,100,000",43.221,"57,800,000",,,,,,,,
