,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,
"Amazon Web Services [c5d.24xlarge]",17.230,"1,450,000",38.688,"1,290,000",85.958,"1,160,000",233.981,"1,060,000",492.127,"1,010,000",1044.800,"957,000",2899.050,"862,000"
"Amazon Web Services [c5d.large]",356.169,"70,100",814.283,"61,400",1854.166,"53,900",5498.155,"45,400",12443.864,"40,100",,,,
"Amazon Web Services [c7i.large]",228.450,"109,000",519.252,"96,200",1182.784,"84,500",3455.288,"72,300",7800.855,"64,000",,,,
"Amazon Web Services [m6a.48xlarge]",21.256,"1,170,000",55.722,"897,000",127.019,"787,000",,,,,,,,
"Amazon Web Services [m6a.large]",335.467,"74,500",765.820,"65,200",1742.118,"57,400",5103.569,"48,900",11604.083,"43,000",26251.254,"38,000",,
"Amazon Web Services [m6i.32xlarge]",23.131,"1,080,000",37.773,"1,320,000",76.308,"1,310,000",195.021,"1,280,000",394.496,"1,260,000",818.891,"1,220,000",2239.181,"1,110,000"
"Amazon Web Services [m6i.large]",286.194,"87,300",648.001,"77,100",1459.752,"68,500",4261.652,"58,600",9561.010,"52,200",21366.438,"46,800",,
"Amazon Web Services [m7a.large]",142.304,"175,000",324.875,"153,000",738.679,"135,000",2164.809,"115,000",4884.816,"102,000",10957.191,"91,200",,
"Amazon Web Services [m7i.48xlarge]",9.420,"2,650,000",,,,,,,,,,,,
"Amazon Web Services [m7i.large]",225.371,"110,000",510.865,"97,800",1159.267,"86,200",3387.135,"73,800",7628.906,"65,500",17271.466,"57,800",,
"Amazon Web Services [r5d.24xlarge]",17.858,"1,390,000",40.020,"1,240,000",88.400,"1,130,000",238.902,"1,040,000",,,,,,
"Amazon Web Services [t3.small]",423.792,"58,900",961.937,"51,900",2186.872,"45,700",6368.965,"39,200",,,,,,
"Google Cloud Platform [n2d-standard-224]",27.349,"914,000",62.995,"793,000",144.930,"689,000",380.970,"656,000",701.372,"712,000",1249.616,"800,000",,
