,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,,125b,
"Catalan's Constant [guillera2019]",8,1.537,"16,200,000",3.507,"14,200,000",7.779,"12,800,000",21.101,"11,800,000",44.695,"11,100,000",95.574,"10,400,000",270.316,"9,240,000",,,,,,,,,,,,
"Catalan's Constant [pilehrood-short]",8,1.157,"21,600,000",2.613,"19,100,000",5.794,"17,200,000",15.670,"15,900,000",33.202,"15,000,000",70.990,"14,000,000",199.419,"12,500,000",,,,,,,,,,,,
"Cos(1) [Half Angle Formula]",,0.110,"227,000,000",0.197,"253,000,000",0.367,"272,000,000",0.899,"278,000,000",1.802,"277,000,000",3.711,"269,000,000",9.741,"256,000,000",,,,,,,,,,,,
"Cos(1) [Series]",,0.104,"240,000,000",0.189,"264,000,000",0.344,"290,000,000",0.897,"278,000,000",1.771,"282,000,000",3.659,"273,000,000",9.470,"263,000,000",,,,,,,,,,,,
"Euler-Mascheroni Constant [brent-original]",3,8.366,"2,980,000",16.968,"2,940,000",35.946,"2,780,000",122.937,"2,030,000",,,,,,,,,,,,,,,,,,
"Euler-Mascheroni Constant [brent-refined]",3,6.127,"4,080,000",12.864,"3,880,000",26.936,"3,710,000",82.817,"3,010,000",,,,,,,,,,,,,,,,,,
"Gauss [AGM]",,1.532,"16,300,000",2.550,"19,600,000",4.431,"22,500,000",11.241,"22,200,000",21.679,"23,000,000",43.125,"23,100,000",114.106,"21,900,000",237.279,"21,000,000",,,,,,,,,9311.077,"13,400,000"
"Gauss [Series]",,1.548,"16,100,000",3.431,"14,500,000",7.585,"13,100,000",20.508,"12,100,000",43.116,"11,500,000",91.774,"10,800,000",256.440,"9,740,000",,,,,,,,,,,22869.346,"5,460,000"
"Golden Ratio [newton]",5,0.049,"510,000,000",0.079,"632,000,000",0.138,"724,000,000",0.331,"755,000,000",0.634,"788,000,000",1.264,"791,000,000",3.334,"749,000,000",6.982,"716,000,000",14.822,"674,000,000",40.389,"618,000,000",88.781,"563,000,000",187.965,"532,000,000",,
"Lemniscate [Series-Pi]",9,1.900,"13,100,000",4.208,"11,800,000",9.197,"10,800,000",24.826,"10,000,000",51.893,"9,630,000",110.449,"9,050,000",309.420,"8,070,000",,,,,,,,,,,,
"Lemniscate Constant [agm-pi]",9,1.720,"14,500,000",3.002,"16,600,000",5.546,"18,000,000",13.922,"17,900,000",27.194,"18,300,000",54.927,"18,200,000",145.426,"17,100,000",,,,,,,,,,,,
"Log(10) [machin-primary]",12,0.760,"32,800,000",1.614,"30,900,000",3.450,"28,900,000",8.960,"27,900,000",18.435,"27,100,000",38.659,"25,800,000",105.143,"23,700,000",,,,,,,,,,,,
"Log(10) [machin-secondary]",12,0.812,"30,700,000",1.728,"28,900,000",3.662,"27,300,000",9.558,"26,100,000",19.623,"25,400,000",41.240,"24,200,000",112.206,"22,200,000",,,,,,,,,,,,
"Log(2) [machin-primary]",6,0.645,"38,700,000",1.394,"35,800,000",2.966,"33,700,000",7.805,"32,000,000",16.156,"30,900,000",34.118,"29,300,000",92.742,"26,900,000",,,,,,,,,,,,
"Log(2) [machin-secondary]",6,0.761,"32,800,000",1.622,"30,800,000",3.451,"28,900,000",8.958,"27,900,000",18.435,"27,100,000",38.590,"25,900,000",105.226,"23,700,000",,,,,,,,,,,,
"Pi [chudnovsky]",1,0.274,"91,200,000",0.553,"90,400,000",1.171,"85,300,000",2.982,"83,800,000",6.042,"82,700,000",12.624,"79,200,000",34.442,"72,500,000",,,,,,,,,,,,
"Sin(1) [Half Angle Formula]",,0.186,"134,000,000",0.336,"148,000,000",0.632,"158,000,000",1.541,"162,000,000",3.095,"161,000,000",6.392,"156,000,000",16.763,"149,000,000",,,,,,,,,,,,
"Sin(1) [Series]",,0.106,"235,000,000",0.186,"268,000,000",0.349,"286,000,000",0.885,"282,000,000",1.786,"279,000,000",3.616,"276,000,000",9.579,"260,000,000",,,,,,,,,,,,
"Sqrt(2) [newton]",4,0.048,"520,000,000",0.079,"632,000,000",0.138,"724,000,000",0.329,"759,000,000",0.646,"773,000,000",1.280,"781,000,000",3.322,"752,000,000",7.001,"714,000,000",14.670,"681,000,000",39.805,"628,000,000",87.817,"569,000,000",190.091,"526,000,000",,
"Zeta(3) - Apery's Constant [az]",7,1.006,"24,800,000",2.294,"21,700,000",5.026,"19,800,000",13.532,"18,400,000",28.671,"17,400,000",61.371,"16,200,000",172.571,"14,400,000",,,,,,,,,,,,
"Zeta(3) - Apery's Constant [wedeniwski]",7,0.963,"25,900,000",2.176,"22,900,000",4.797,"20,800,000",13.061,"19,100,000",27.418,"18,200,000",58.659,"17,000,000",164.043,"15,200,000",,,,,,,,,,,,
"Zeta(5) [BBP-Kruse]",13,8.878,"2,810,000",20.278,"2,460,000",45.526,"2,190,000",123.093,"2,030,000",,,,,,,,,,,,,,,,,,
"Zeta(5) [Broadhurst (optimized)]",13,17.858,"1,390,000",40.020,"1,240,000",88.400,"1,130,000",238.902,"1,040,000",,,,,,,,,,,,,,,,,,
"e [exp(-1)]",2,0.098,"255,000,000",0.178,"280,000,000",0.331,"302,000,000",0.858,"291,000,000",1.705,"293,000,000",3.510,"284,000,000",9.303,"268,000,000",,,,,,,,,,,,
"e [exp(1)]",2,0.096,"260,000,000",0.178,"280,000,000",0.327,"305,000,000",0.854,"292,000,000",1.708,"292,000,000",3.471,"288,000,000",9.207,"271,000,000",,,,,,,,,,,,
